"experiment","metric","method_1","method_2","cliffs_delta","magnitude"
"E1","final_avg_fitness","Elitism","Truncation",0.5,"large"
"E1","final_avg_fitness","Elitism","SUS",0.548888888888889,"large"
"E1","final_avg_fitness","Truncation","SUS",-0.0133333333333333,"negligible"
"E2","final_avg_fitness","Elitism","Truncation",0.197777777777778,"small"
"E2","final_avg_fitness","Elitism","SUS",0.428888888888889,"medium"
"E2","final_avg_fitness","Truncation","SUS",0.135555555555556,"negligible"
"E3","final_avg_fitness","Elitism","Truncation",0.673333333333333,"large"
"E3","final_avg_fitness","Elitism","SUS",0.731111111111111,"large"
"E3","final_avg_fitness","Truncation","SUS",0.182222222222222,"small"
"E1","final_max_fitness","Elitism","Truncation",0.244444444444444,"small"
"E1","final_max_fitness","Elitism","SUS",0.657777777777778,"large"
"E1","final_max_fitness","Truncation","SUS",0.684444444444444,"large"
"E2","final_max_fitness","Elitism","Truncation",0.0444444444444444,"negligible"
"E2","final_max_fitness","Elitism","SUS",0.311111111111111,"small"
"E2","final_max_fitness","Truncation","SUS",0.262222222222222,"small"
"E3","final_max_fitness","Elitism","Truncation",0.137777777777778,"negligible"
"E3","final_max_fitness","Elitism","SUS",0.711111111111111,"large"
"E3","final_max_fitness","Truncation","SUS",0.651111111111111,"large"
"E1","final_correct_settlers","Elitism","Truncation",0.525555555555556,"large"
"E1","final_correct_settlers","Elitism","SUS",0.14,"negligible"
"E1","final_correct_settlers","Truncation","SUS",-0.202222222222222,"small"
"E2","final_correct_settlers","Elitism","Truncation",0.398888888888889,"medium"
"E2","final_correct_settlers","Elitism","SUS",-0.292222222222222,"small"
"E2","final_correct_settlers","Truncation","SUS",-0.58,"large"
"E3","final_correct_settlers","Elitism","Truncation",0,"negligible"
"E3","final_correct_settlers","Elitism","SUS",0,"negligible"
"E3","final_correct_settlers","Truncation","SUS",0,"negligible"
"E1","final_total_settlers","Elitism","Truncation",0.323333333333333,"small"
"E1","final_total_settlers","Elitism","SUS",0.307777777777778,"small"
"E1","final_total_settlers","Truncation","SUS",0.0244444444444444,"negligible"
"E2","final_total_settlers","Elitism","Truncation",0.215555555555556,"small"
"E2","final_total_settlers","Elitism","SUS",-0.0966666666666667,"negligible"
"E2","final_total_settlers","Truncation","SUS",-0.288888888888889,"small"
"E3","final_total_settlers","Elitism","Truncation",0.146666666666667,"negligible"
"E3","final_total_settlers","Elitism","SUS",-0.886666666666667,"large"
"E3","final_total_settlers","Truncation","SUS",-0.905555555555556,"large"
"E1","final_boundary_contacts","Elitism","Truncation",-0.0311111111111111,"negligible"
"E1","final_boundary_contacts","Elitism","SUS",-0.362222222222222,"medium"
"E1","final_boundary_contacts","Truncation","SUS",-0.322222222222222,"small"
"E2","final_boundary_contacts","Elitism","Truncation",-0.168888888888889,"small"
"E2","final_boundary_contacts","Elitism","SUS",0.177777777777778,"small"
"E2","final_boundary_contacts","Truncation","SUS",0.38,"medium"
"E3","final_boundary_contacts","Elitism","Truncation",-0.0311111111111111,"negligible"
"E3","final_boundary_contacts","Elitism","SUS",0.806666666666667,"large"
"E3","final_boundary_contacts","Truncation","SUS",0.793333333333333,"large"
"E1","final_genetic_diversity","Elitism","Truncation",0.914444444444444,"large"
"E1","final_genetic_diversity","Elitism","SUS",-0.982222222222222,"large"
"E1","final_genetic_diversity","Truncation","SUS",-1,"large"
"E2","final_genetic_diversity","Elitism","Truncation",0.977777777777778,"large"
"E2","final_genetic_diversity","Elitism","SUS",-0.951111111111111,"large"
"E2","final_genetic_diversity","Truncation","SUS",-1,"large"
"E3","final_genetic_diversity","Elitism","Truncation",0.971111111111111,"large"
"E3","final_genetic_diversity","Elitism","SUS",-0.955555555555556,"large"
"E3","final_genetic_diversity","Truncation","SUS",-1,"large"
"E1","correct_settlement_rate","Elitism","Truncation",0.525555555555556,"large"
"E1","correct_settlement_rate","Elitism","SUS",0.14,"negligible"
"E1","correct_settlement_rate","Truncation","SUS",-0.202222222222222,"small"
"E2","correct_settlement_rate","Elitism","Truncation",0.398888888888889,"medium"
"E2","correct_settlement_rate","Elitism","SUS",-0.292222222222222,"small"
"E2","correct_settlement_rate","Truncation","SUS",-0.58,"large"
"E3","correct_settlement_rate","Elitism","Truncation",0,"negligible"
"E3","correct_settlement_rate","Elitism","SUS",0,"negligible"
"E3","correct_settlement_rate","Truncation","SUS",0,"negligible"
"E1","incorrect_settlers","Elitism","Truncation",-0.382222222222222,"medium"
"E1","incorrect_settlers","Elitism","SUS",0.427777777777778,"medium"
"E1","incorrect_settlers","Truncation","SUS",0.61,"large"
"E2","incorrect_settlers","Elitism","Truncation",-0.316666666666667,"small"
"E2","incorrect_settlers","Elitism","SUS",0.16,"small"
"E2","incorrect_settlers","Truncation","SUS",0.433333333333333,"medium"
"E3","incorrect_settlers","Elitism","Truncation",0.146666666666667,"negligible"
"E3","incorrect_settlers","Elitism","SUS",-0.886666666666667,"large"
"E3","incorrect_settlers","Truncation","SUS",-0.905555555555556,"large"
