"experiment_id","scenario","run_seed","depth_zone","larvae","total_larvae","proportion"
"E2","V2A",1101,"<40 cm",94,125,0.752
"E2","V2A",1101,"40-80 cm",4,125,0.032
"E2","V2A",1101,"80-120 cm",1,125,0.008
"E2","V2A",1101,"120-160 cm",4,125,0.032
"E2","V2A",1101,"160-200 cm",2,125,0.016
"E2","V2A",1101,">200 cm",20,125,0.16
"E2","V2A",1102,"<40 cm",90,125,0.72
"E2","V2A",1102,"40-80 cm",1,125,0.008
"E2","V2A",1102,"80-120 cm",1,125,0.008
"E2","V2A",1102,"120-160 cm",3,125,0.024
"E2","V2A",1102,"160-200 cm",2,125,0.016
"E2","V2A",1102,">200 cm",28,125,0.224
"E2","V2A",1103,"<40 cm",91,125,0.728
"E2","V2A",1103,"40-80 cm",4,125,0.032
"E2","V2A",1103,"80-120 cm",2,125,0.016
"E2","V2A",1103,"120-160 cm",6,125,0.048
"E2","V2A",1103,"160-200 cm",5,125,0.04
"E2","V2A",1103,">200 cm",17,125,0.136
"E2","V2A",1104,"<40 cm",0,0,NA
"E2","V2A",1104,"40-80 cm",0,0,NA
"E2","V2A",1104,"80-120 cm",0,0,NA
"E2","V2A",1104,"120-160 cm",0,0,NA
"E2","V2A",1104,"160-200 cm",0,0,NA
"E2","V2A",1104,">200 cm",0,0,NA
"E2","V2A",1105,"<40 cm",0,0,NA
"E2","V2A",1105,"40-80 cm",0,0,NA
"E2","V2A",1105,"80-120 cm",0,0,NA
"E2","V2A",1105,"120-160 cm",0,0,NA
"E2","V2A",1105,"160-200 cm",0,0,NA
"E2","V2A",1105,">200 cm",0,0,NA
"E2","V2A",1106,"<40 cm",0,0,NA
"E2","V2A",1106,"40-80 cm",0,0,NA
"E2","V2A",1106,"80-120 cm",0,0,NA
"E2","V2A",1106,"120-160 cm",0,0,NA
"E2","V2A",1106,"160-200 cm",0,0,NA
"E2","V2A",1106,">200 cm",0,0,NA
"E2","V2A",1107,"<40 cm",0,0,NA
"E2","V2A",1107,"40-80 cm",0,0,NA
"E2","V2A",1107,"80-120 cm",0,0,NA
"E2","V2A",1107,"120-160 cm",0,0,NA
"E2","V2A",1107,"160-200 cm",0,0,NA
"E2","V2A",1107,">200 cm",0,0,NA
"E2","V2A",1108,"<40 cm",0,0,NA
"E2","V2A",1108,"40-80 cm",0,0,NA
"E2","V2A",1108,"80-120 cm",0,0,NA
"E2","V2A",1108,"120-160 cm",0,0,NA
"E2","V2A",1108,"160-200 cm",0,0,NA
"E2","V2A",1108,">200 cm",0,0,NA
"E2","V2A",1109,"<40 cm",0,0,NA
"E2","V2A",1109,"40-80 cm",0,0,NA
"E2","V2A",1109,"80-120 cm",0,0,NA
"E2","V2A",1109,"120-160 cm",0,0,NA
"E2","V2A",1109,"160-200 cm",0,0,NA
"E2","V2A",1109,">200 cm",0,0,NA
"E2","V2A",1110,"<40 cm",0,0,NA
"E2","V2A",1110,"40-80 cm",0,0,NA
"E2","V2A",1110,"80-120 cm",0,0,NA
"E2","V2A",1110,"120-160 cm",0,0,NA
"E2","V2A",1110,"160-200 cm",0,0,NA
"E2","V2A",1110,">200 cm",0,0,NA
"E2","V2A",2101,"<40 cm",101,125,0.808
"E2","V2A",2101,"40-80 cm",5,125,0.04
"E2","V2A",2101,"80-120 cm",0,125,0
"E2","V2A",2101,"120-160 cm",4,125,0.032
"E2","V2A",2101,"160-200 cm",5,125,0.04
"E2","V2A",2101,">200 cm",10,125,0.08
"E2","V2A",2102,"<40 cm",94,125,0.752
"E2","V2A",2102,"40-80 cm",0,125,0
"E2","V2A",2102,"80-120 cm",3,125,0.024
"E2","V2A",2102,"120-160 cm",4,125,0.032
"E2","V2A",2102,"160-200 cm",5,125,0.04
"E2","V2A",2102,">200 cm",19,125,0.152
"E2","V2A",2103,"<40 cm",99,125,0.792
"E2","V2A",2103,"40-80 cm",1,125,0.008
"E2","V2A",2103,"80-120 cm",3,125,0.024
"E2","V2A",2103,"120-160 cm",7,125,0.056
"E2","V2A",2103,"160-200 cm",2,125,0.016
"E2","V2A",2103,">200 cm",13,125,0.104
"E2","V2A",2104,"<40 cm",0,0,NA
"E2","V2A",2104,"40-80 cm",0,0,NA
"E2","V2A",2104,"80-120 cm",0,0,NA
"E2","V2A",2104,"120-160 cm",0,0,NA
"E2","V2A",2104,"160-200 cm",0,0,NA
"E2","V2A",2104,">200 cm",0,0,NA
"E2","V2A",2105,"<40 cm",0,0,NA
"E2","V2A",2105,"40-80 cm",0,0,NA
"E2","V2A",2105,"80-120 cm",0,0,NA
"E2","V2A",2105,"120-160 cm",0,0,NA
"E2","V2A",2105,"160-200 cm",0,0,NA
"E2","V2A",2105,">200 cm",0,0,NA
"E2","V2A",2106,"<40 cm",0,0,NA
"E2","V2A",2106,"40-80 cm",0,0,NA
"E2","V2A",2106,"80-120 cm",0,0,NA
"E2","V2A",2106,"120-160 cm",0,0,NA
"E2","V2A",2106,"160-200 cm",0,0,NA
"E2","V2A",2106,">200 cm",0,0,NA
"E2","V2A",2107,"<40 cm",0,0,NA
"E2","V2A",2107,"40-80 cm",0,0,NA
"E2","V2A",2107,"80-120 cm",0,0,NA
"E2","V2A",2107,"120-160 cm",0,0,NA
"E2","V2A",2107,"160-200 cm",0,0,NA
"E2","V2A",2107,">200 cm",0,0,NA
"E2","V2A",2108,"<40 cm",0,0,NA
"E2","V2A",2108,"40-80 cm",0,0,NA
"E2","V2A",2108,"80-120 cm",0,0,NA
"E2","V2A",2108,"120-160 cm",0,0,NA
"E2","V2A",2108,"160-200 cm",0,0,NA
"E2","V2A",2108,">200 cm",0,0,NA
"E2","V2A",2109,"<40 cm",0,0,NA
"E2","V2A",2109,"40-80 cm",0,0,NA
"E2","V2A",2109,"80-120 cm",0,0,NA
"E2","V2A",2109,"120-160 cm",0,0,NA
"E2","V2A",2109,"160-200 cm",0,0,NA
"E2","V2A",2109,">200 cm",0,0,NA
