"experiment_id","scenario","run_seed","height_zone","larvae","total_larvae","proportion"
"E3","V3A",1101,"<2 cm",2232,2250,0.992
"E3","V3A",1101,"2-4 cm",9,2250,0.004
"E3","V3A",1101,"4-6 cm",0,2250,0
"E3","V3A",1101,"6-8 cm",9,2250,0.004
"E3","V3A",1101,">8 cm",0,2250,0
"E3","V3A",1102,"<2 cm",992,1000,0.992
"E3","V3A",1102,"2-4 cm",0,1000,0
"E3","V3A",1102,"4-6 cm",4,1000,0.004
"E3","V3A",1102,"6-8 cm",0,1000,0
"E3","V3A",1102,">8 cm",4,1000,0.004
"E3","V3A",1103,"<2 cm",992,1000,0.992
"E3","V3A",1103,"2-4 cm",0,1000,0
"E3","V3A",1103,"4-6 cm",0,1000,0
"E3","V3A",1103,"6-8 cm",0,1000,0
"E3","V3A",1103,">8 cm",8,1000,0.008
"E3","V3A",1104,"<2 cm",992,1000,0.992
"E3","V3A",1104,"2-4 cm",0,1000,0
"E3","V3A",1104,"4-6 cm",0,1000,0
"E3","V3A",1104,"6-8 cm",4,1000,0.004
"E3","V3A",1104,">8 cm",4,1000,0.004
"E3","V3A",1105,"<2 cm",984,1000,0.984
"E3","V3A",1105,"2-4 cm",0,1000,0
"E3","V3A",1105,"4-6 cm",4,1000,0.004
"E3","V3A",1105,"6-8 cm",0,1000,0
"E3","V3A",1105,">8 cm",12,1000,0.012
"E3","V3A",1106,"<2 cm",992,1000,0.992
"E3","V3A",1106,"2-4 cm",0,1000,0
"E3","V3A",1106,"4-6 cm",0,1000,0
"E3","V3A",1106,"6-8 cm",0,1000,0
"E3","V3A",1106,">8 cm",8,1000,0.008
"E3","V3A",1107,"<2 cm",992,1000,0.992
"E3","V3A",1107,"2-4 cm",0,1000,0
"E3","V3A",1107,"4-6 cm",0,1000,0
"E3","V3A",1107,"6-8 cm",0,1000,0
"E3","V3A",1107,">8 cm",8,1000,0.008
"E3","V3A",1108,"<2 cm",992,1000,0.992
"E3","V3A",1108,"2-4 cm",0,1000,0
"E3","V3A",1108,"4-6 cm",4,1000,0.004
"E3","V3A",1108,"6-8 cm",0,1000,0
"E3","V3A",1108,">8 cm",4,1000,0.004
"E3","V3A",1109,"<2 cm",992,1000,0.992
"E3","V3A",1109,"2-4 cm",0,1000,0
"E3","V3A",1109,"4-6 cm",0,1000,0
"E3","V3A",1109,"6-8 cm",0,1000,0
"E3","V3A",1109,">8 cm",8,1000,0.008
"E3","V3A",1110,"<2 cm",988,1000,0.988
"E3","V3A",1110,"2-4 cm",4,1000,0.004
"E3","V3A",1110,"4-6 cm",4,1000,0.004
"E3","V3A",1110,"6-8 cm",0,1000,0
"E3","V3A",1110,">8 cm",4,1000,0.004
"E3","V3A",2101,"<2 cm",18,2250,0.008
"E3","V3A",2101,"2-4 cm",18,2250,0.008
"E3","V3A",2101,"4-6 cm",18,2250,0.008
"E3","V3A",2101,"6-8 cm",18,2250,0.008
"E3","V3A",2101,">8 cm",2178,2250,0.968
"E3","V3A",2102,"<2 cm",16,1000,0.016
"E3","V3A",2102,"2-4 cm",4,1000,0.004
"E3","V3A",2102,"4-6 cm",12,1000,0.012
"E3","V3A",2102,"6-8 cm",8,1000,0.008
"E3","V3A",2102,">8 cm",960,1000,0.96
"E3","V3A",2103,"<2 cm",12,1000,0.012
"E3","V3A",2103,"2-4 cm",8,1000,0.008
"E3","V3A",2103,"4-6 cm",0,1000,0
"E3","V3A",2103,"6-8 cm",16,1000,0.016
"E3","V3A",2103,">8 cm",964,1000,0.964
"E3","V3A",2104,"<2 cm",20,1000,0.02
"E3","V3A",2104,"2-4 cm",4,1000,0.004
"E3","V3A",2104,"4-6 cm",12,1000,0.012
"E3","V3A",2104,"6-8 cm",4,1000,0.004
"E3","V3A",2104,">8 cm",960,1000,0.96
"E3","V3A",2105,"<2 cm",12,1000,0.012
"E3","V3A",2105,"2-4 cm",4,1000,0.004
"E3","V3A",2105,"4-6 cm",0,1000,0
"E3","V3A",2105,"6-8 cm",8,1000,0.008
"E3","V3A",2105,">8 cm",976,1000,0.976
"E3","V3A",2106,"<2 cm",16,1000,0.016
"E3","V3A",2106,"2-4 cm",0,1000,0
"E3","V3A",2106,"4-6 cm",0,1000,0
"E3","V3A",2106,"6-8 cm",4,1000,0.004
"E3","V3A",2106,">8 cm",980,1000,0.98
"E3","V3A",2107,"<2 cm",16,1000,0.016
"E3","V3A",2107,"2-4 cm",4,1000,0.004
"E3","V3A",2107,"4-6 cm",0,1000,0
"E3","V3A",2107,"6-8 cm",0,1000,0
"E3","V3A",2107,">8 cm",980,1000,0.98
"E3","V3A",2108,"<2 cm",12,1000,0.012
