"scenario","test","statistic","df","p_value"
"V3A","Horizontal distribution differs from uniform across sound-distance zones",858776.705274074,4,0
"V3B","Horizontal distribution differs from uniform across sound-distance zones",932071.690311111,4,0
"V3C","Horizontal distribution differs from uniform across sound-distance zones",922849.355940741,4,0
"V3D","Horizontal distribution differs from uniform across sound-distance zones",457627.516237037,4,0
"V3E","Horizontal distribution differs from uniform across sound-distance zones",9927.72346666667,4,0
"V3F","Horizontal distribution differs from uniform across sound-distance zones",626861.796118519,4,0
"V3FHI","Horizontal distribution differs from uniform across sound-distance zones",21192.8866666667,4,0
"V3FLO","Horizontal distribution differs from uniform across sound-distance zones",21639.916,4,0
"V3SPL140","Horizontal distribution differs from uniform across sound-distance zones",19471.284,4,0
"V3SPL153","Horizontal distribution differs from uniform across sound-distance zones",21631.6093333333,4,0
"V3SPL160","Horizontal distribution differs from uniform across sound-distance zones",21775.7213333333,4,0
NA,"Horizontal distribution differs from uniform across sound-distance zones",61440.12,4,0
