"experiment_id","scenario","run_seed","horizontal_zone","larvae","total_larvae","proportion"
"E3","V3A",1101,"zone1 (nearest)",1863,2250,0.828
"E3","V3A",1101,"zone2",216,2250,0.096
"E3","V3A",1101,"zone3",126,2250,0.056
"E3","V3A",1101,"zone4",36,2250,0.016
"E3","V3A",1101,"zone5 (farthest)",9,2250,0.004
"E3","V3A",1102,"zone1 (nearest)",836,1000,0.836
"E3","V3A",1102,"zone2",80,1000,0.08
"E3","V3A",1102,"zone3",40,1000,0.04
"E3","V3A",1102,"zone4",28,1000,0.028
"E3","V3A",1102,"zone5 (farthest)",16,1000,0.016
"E3","V3A",1103,"zone1 (nearest)",848,1000,0.848
"E3","V3A",1103,"zone2",68,1000,0.068
"E3","V3A",1103,"zone3",44,1000,0.044
"E3","V3A",1103,"zone4",32,1000,0.032
"E3","V3A",1103,"zone5 (farthest)",8,1000,0.008
"E3","V3A",1104,"zone1 (nearest)",876,1000,0.876
"E3","V3A",1104,"zone2",68,1000,0.068
"E3","V3A",1104,"zone3",40,1000,0.04
"E3","V3A",1104,"zone4",8,1000,0.008
"E3","V3A",1104,"zone5 (farthest)",8,1000,0.008
"E3","V3A",1105,"zone1 (nearest)",820,1000,0.82
"E3","V3A",1105,"zone2",116,1000,0.116
"E3","V3A",1105,"zone3",40,1000,0.04
"E3","V3A",1105,"zone4",12,1000,0.012
"E3","V3A",1105,"zone5 (farthest)",12,1000,0.012
"E3","V3A",1106,"zone1 (nearest)",856,1000,0.856
"E3","V3A",1106,"zone2",64,1000,0.064
"E3","V3A",1106,"zone3",68,1000,0.068
"E3","V3A",1106,"zone4",8,1000,0.008
"E3","V3A",1106,"zone5 (farthest)",4,1000,0.004
"E3","V3A",1107,"zone1 (nearest)",856,1000,0.856
"E3","V3A",1107,"zone2",84,1000,0.084
"E3","V3A",1107,"zone3",32,1000,0.032
"E3","V3A",1107,"zone4",16,1000,0.016
"E3","V3A",1107,"zone5 (farthest)",12,1000,0.012
"E3","V3A",1108,"zone1 (nearest)",820,1000,0.82
"E3","V3A",1108,"zone2",120,1000,0.12
"E3","V3A",1108,"zone3",36,1000,0.036
"E3","V3A",1108,"zone4",24,1000,0.024
"E3","V3A",1108,"zone5 (farthest)",0,1000,0
"E3","V3A",1109,"zone1 (nearest)",828,1000,0.828
"E3","V3A",1109,"zone2",112,1000,0.112
"E3","V3A",1109,"zone3",40,1000,0.04
"E3","V3A",1109,"zone4",16,1000,0.016
"E3","V3A",1109,"zone5 (farthest)",4,1000,0.004
"E3","V3A",1110,"zone1 (nearest)",864,1000,0.864
"E3","V3A",1110,"zone2",80,1000,0.08
"E3","V3A",1110,"zone3",40,1000,0.04
"E3","V3A",1110,"zone4",12,1000,0.012
"E3","V3A",1110,"zone5 (farthest)",4,1000,0.004
"E3","V3A",2101,"zone1 (nearest)",1701,2250,0.756
"E3","V3A",2101,"zone2",234,2250,0.104
"E3","V3A",2101,"zone3",99,2250,0.044
"E3","V3A",2101,"zone4",72,2250,0.032
"E3","V3A",2101,"zone5 (farthest)",144,2250,0.064
"E3","V3A",2102,"zone1 (nearest)",780,1000,0.78
"E3","V3A",2102,"zone2",100,1000,0.1
"E3","V3A",2102,"zone3",36,1000,0.036
"E3","V3A",2102,"zone4",40,1000,0.04
"E3","V3A",2102,"zone5 (farthest)",44,1000,0.044
"E3","V3A",2103,"zone1 (nearest)",724,1000,0.724
"E3","V3A",2103,"zone2",108,1000,0.108
"E3","V3A",2103,"zone3",72,1000,0.072
"E3","V3A",2103,"zone4",32,1000,0.032
"E3","V3A",2103,"zone5 (farthest)",64,1000,0.064
"E3","V3A",2104,"zone1 (nearest)",800,1000,0.8
"E3","V3A",2104,"zone2",100,1000,0.1
"E3","V3A",2104,"zone3",44,1000,0.044
"E3","V3A",2104,"zone4",32,1000,0.032
"E3","V3A",2104,"zone5 (farthest)",24,1000,0.024
"E3","V3A",2105,"zone1 (nearest)",736,1000,0.736
"E3","V3A",2105,"zone2",104,1000,0.104
"E3","V3A",2105,"zone3",48,1000,0.048
"E3","V3A",2105,"zone4",40,1000,0.04
"E3","V3A",2105,"zone5 (farthest)",72,1000,0.072
"E3","V3A",2106,"zone1 (nearest)",752,1000,0.752
"E3","V3A",2106,"zone2",144,1000,0.144
"E3","V3A",2106,"zone3",20,1000,0.02
"E3","V3A",2106,"zone4",32,1000,0.032
"E3","V3A",2106,"zone5 (farthest)",52,1000,0.052
"E3","V3A",2107,"zone1 (nearest)",800,1000,0.8
"E3","V3A",2107,"zone2",80,1000,0.08
"E3","V3A",2107,"zone3",36,1000,0.036
"E3","V3A",2107,"zone4",24,1000,0.024
"E3","V3A",2107,"zone5 (farthest)",60,1000,0.06
"E3","V3A",2108,"zone1 (nearest)",732,1000,0.732
"E3","V3A",2108,"zone2",128,1000,0.128
"E3","V3A",2108,"zone3",40,1000,0.04
"E3","V3A",2108,"zone4",32,1000,0.032
"E3","V3A",2108,"zone5 (farthest)",68,1000,0.068
"E3","V3A",2109,"zone1 (nearest)",780,1000,0.78
"E3","V3A",2109,"zone2",104,1000,0.104
"E3","V3A",2109,"zone3",40,1000,0.04
"E3","V3A",2109,"zone4",24,1000,0.024
"E3","V3A",2109,"zone5 (farthest)",52,1000,0.052
"E3","V3A",2110,"zone1 (nearest)",744,1000,0.744
