"experiment","metric","baseline_setup","comparison_setup","cliffs_delta","magnitude"
"E1","final_avg_fitness","H1","H2",0.0422222222222222,"negligible"
"E1","final_avg_fitness","H1","H3",0.366666666666667,"medium"
"E1","final_avg_fitness","H1","H4",0.375555555555556,"medium"
"E2","final_avg_fitness","H1","H2",0.0155555555555556,"negligible"
"E2","final_avg_fitness","H1","H3",-0.224444444444444,"small"
"E2","final_avg_fitness","H1","H4",0.262222222222222,"small"
"E3","final_avg_fitness","H1","H2",0.0777777777777778,"negligible"
"E3","final_avg_fitness","H1","H3",0.262222222222222,"small"
"E3","final_avg_fitness","H1","H4",0.137777777777778,"negligible"
"E1","final_max_fitness","H1","H2",0.406666666666667,"medium"
"E1","final_max_fitness","H1","H3",0.122222222222222,"negligible"
"E1","final_max_fitness","H1","H4",0.488888888888889,"large"
"E2","final_max_fitness","H1","H2",0.228888888888889,"small"
"E2","final_max_fitness","H1","H3",-0.06,"negligible"
"E2","final_max_fitness","H1","H4",0.337777777777778,"medium"
"E3","final_max_fitness","H1","H2",0.0133333333333333,"negligible"
"E3","final_max_fitness","H1","H3",0.0977777777777778,"negligible"
"E3","final_max_fitness","H1","H4",0.22,"small"
"E1","final_correct_settlers","H1","H2",-0.0766666666666667,"negligible"
"E1","final_correct_settlers","H1","H3",0.345555555555556,"medium"
"E1","final_correct_settlers","H1","H4",0.934444444444444,"large"
"E2","final_correct_settlers","H1","H2",-0.707777777777778,"large"
"E2","final_correct_settlers","H1","H3",-0.607777777777778,"large"
"E2","final_correct_settlers","H1","H4",1,"large"
"E3","final_correct_settlers","H1","H2",0,"negligible"
"E3","final_correct_settlers","H1","H3",0,"negligible"
"E3","final_correct_settlers","H1","H4",0,"negligible"
"E1","final_total_settlers","H1","H2",-0.52,"large"
"E1","final_total_settlers","H1","H3",0.108888888888889,"negligible"
"E1","final_total_settlers","H1","H4",0.935555555555556,"large"
"E2","final_total_settlers","H1","H2",-0.703333333333333,"large"
"E2","final_total_settlers","H1","H3",-0.344444444444444,"medium"
"E2","final_total_settlers","H1","H4",1,"large"
"E3","final_total_settlers","H1","H2",0.582222222222222,"large"
"E3","final_total_settlers","H1","H3",0.358888888888889,"medium"
"E3","final_total_settlers","H1","H4",0.131111111111111,"negligible"
"E1","final_boundary_contacts","H1","H2",-0.0311111111111111,"negligible"
"E1","final_boundary_contacts","H1","H3",-0.124444444444444,"negligible"
"E1","final_boundary_contacts","H1","H4",0.262222222222222,"small"
"E2","final_boundary_contacts","H1","H2",0.128888888888889,"negligible"
"E2","final_boundary_contacts","H1","H3",-0.0177777777777778,"negligible"
"E2","final_boundary_contacts","H1","H4",0.271111111111111,"small"
"E3","final_boundary_contacts","H1","H2",-0.337777777777778,"medium"
"E3","final_boundary_contacts","H1","H3",-0.62,"large"
"E3","final_boundary_contacts","H1","H4",0.942222222222222,"large"
"E1","final_genetic_diversity","H1","H2",1,"large"
"E1","final_genetic_diversity","H1","H3",-0.208888888888889,"small"
"E1","final_genetic_diversity","H1","H4",0.513333333333333,"large"
"E2","final_genetic_diversity","H1","H2",0.957777777777778,"large"
"E2","final_genetic_diversity","H1","H3",0.00222222222222222,"negligible"
"E2","final_genetic_diversity","H1","H4",0.411111111111111,"medium"
"E3","final_genetic_diversity","H1","H2",1,"large"
"E3","final_genetic_diversity","H1","H3",-0.474444444444444,"large"
"E3","final_genetic_diversity","H1","H4",0.782222222222222,"large"
"E1","correct_settlement_rate","H1","H2",-0.0766666666666667,"negligible"
"E1","correct_settlement_rate","H1","H3",0.345555555555556,"medium"
"E1","correct_settlement_rate","H1","H4",0.934444444444444,"large"
"E2","correct_settlement_rate","H1","H2",-0.707777777777778,"large"
"E2","correct_settlement_rate","H1","H3",-0.607777777777778,"large"
"E2","correct_settlement_rate","H1","H4",1,"large"
"E3","correct_settlement_rate","H1","H2",0,"negligible"
"E3","correct_settlement_rate","H1","H3",0,"negligible"
"E3","correct_settlement_rate","H1","H4",0,"negligible"
"E1","incorrect_settlers","H1","H2",-0.0155555555555556,"negligible"
"E1","incorrect_settlers","H1","H3",0.0677777777777778,"negligible"
"E1","incorrect_settlers","H1","H4",0.0944444444444444,"negligible"
"E2","incorrect_settlers","H1","H2",0.537777777777778,"large"
"E2","incorrect_settlers","H1","H3",0.526666666666667,"large"
"E2","incorrect_settlers","H1","H4",0.565555555555556,"large"
"E3","incorrect_settlers","H1","H2",0.582222222222222,"large"
"E3","incorrect_settlers","H1","H3",0.358888888888889,"medium"
"E3","incorrect_settlers","H1","H4",0.131111111111111,"negligible"
