"experiment","metric","statistic","df","p_value","p_holm_across_experiments"
"E1","final_avg_fitness",7.75592286501376,3,0.0513347884083714,0.102669576816743
"E2","final_avg_fitness",11.3077685950414,3,0.0101729151161885,0.0305187453485656
"E3","final_avg_fitness",3.46683195592288,3,0.325089452025863,0.325089452025863
"E1","final_max_fitness",13.5696418732783,3,0.00355351311115954,0.0106605393334786
"E2","final_max_fitness",10.1224793388429,3,0.0175531996800369,0.0351063993600738
"E3","final_max_fitness",2.97856749311296,3,0.394941465079842,0.394941465079842
"E1","final_correct_settlers",41.1814295849592,3,5.9847094478761e-09,5.9847094478761e-09
"E2","final_correct_settlers",82.8589538883627,3,7.47594649285476e-18,1.49518929857095e-17
"E3","final_correct_settlers",NA,3,NA,NA
"E1","final_total_settlers",43.0502075587523,3,2.4013302497516e-09,4.80266049950321e-09
"E2","final_total_settlers",81.2804670972672,3,1.63061659962275e-17,4.89184979886825e-17
"E3","final_total_settlers",18.7169234557479,3,0.000312828921007263,0.000312828921007263
"E1","final_boundary_contacts",7.84016528925616,3,0.0494331263081181,0.0988662526162363
"E2","final_boundary_contacts",4.44071625344355,3,0.21763961160634,0.21763961160634
"E3","final_boundary_contacts",71.3379063360882,3,2.20666002376895e-15,6.61998007130685e-15
"E1","final_genetic_diversity",75.6933884297521,3,2.57327692788852e-16,5.14655385577704e-16
"E2","final_genetic_diversity",67.3898480318451,3,1.54534184394829e-14,1.54534184394829e-14
"E3","final_genetic_diversity",92.2426000456055,3,7.22459711542227e-20,2.16737913462668e-19
"E1","correct_settlement_rate",41.1814295849592,3,5.9847094478761e-09,5.9847094478761e-09
"E2","correct_settlement_rate",82.8589538883627,3,7.47594649285476e-18,1.49518929857095e-17
"E3","correct_settlement_rate",NA,3,NA,NA
"E1","incorrect_settlers",0.489990019925344,3,0.921084992576244,0.921084992576244
"E2","incorrect_settlers",20.6393316734805,3,0.000125084719065376,0.000375254157196127
"E3","incorrect_settlers",18.7169234557479,3,0.000312828921007263,0.000625657842014526
