"experiment","metric","baseline_setup","comparison_setup","baseline_median","comparison_median","median_difference_baseline_minus_comparison","p_value","p_holm"
"E1","final_avg_fitness","H1","H2",7966.401367,7979.5476075,-13.1462404999993,0.784459768949547,0.784459768949547
"E1","final_avg_fitness","H1","H3",7966.401367,7441.625,524.776367,0.0150141327981898,0.0381963438489198
"E1","final_avg_fitness","H1","H4",7966.401367,7334.2336425,632.167724500001,0.0127321146163066,0.0381963438489198
"E2","final_avg_fitness","H1","H2",3729.0081785,3400.0651855,328.942993000001,0.923442131978236,0.923442131978236
"E2","final_avg_fitness","H1","H3",3729.0081785,3929.4520265,-200.443848,0.137322834846993,0.274645669693986
"E2","final_avg_fitness","H1","H4",3729.0081785,3448.0686035,280.939575,0.0823571708823862,0.247071512647159
"E3","final_avg_fitness","H1","H2",27721.4570315,25956.6953125,1764.761719,0.610007552037681,0.726444625105478
"E3","final_avg_fitness","H1","H3",27721.4570315,25449.4003905,2272.056641,0.0823571708823862,0.247071512647159
"E3","final_avg_fitness","H1","H4",27721.4570315,26882.1279295,839.329102000003,0.363222312552739,0.726444625105478
"E1","final_max_fitness","H1","H2",17421.3007815,13141.406738,4279.8940435,0.00697244149457026,0.0139448829891405
"E1","final_max_fitness","H1","H3",17421.3007815,15874.3393555,1546.961426,0.420386329607813,0.420386329607813
"E1","final_max_fitness","H1","H4",17421.3007815,13061.524414,4359.7763675,0.00117375835201434,0.00352127505604301
"E2","final_max_fitness","H1","H2",8040.016113,4819.7080075,3220.3081055,0.129670224908282,0.259340449816563
"E2","final_max_fitness","H1","H3",8040.016113,9889.244141,-1849.228028,0.69521539906691,0.69521539906691
"E2","final_max_fitness","H1","H4",8040.016113,5432.5717775,2607.4443355,0.0251012827293351,0.0753038481880053
"E3","final_max_fitness","H1","H2",62065.642578,61974.640625,91.001952999999,0.935191970239339,1
"E3","final_max_fitness","H1","H3",62065.642578,61862.6640625,202.978515499999,0.520144612161604,1
"E3","final_max_fitness","H1","H4",62065.642578,61841.71875,223.923827999999,0.145319127240865,0.435957381722596
"E1","final_correct_settlers","H1","H2",219,224,-5,0.61492068534247,0.61492068534247
"E1","final_correct_settlers","H1","H3",219,200.5,18.5,0.0217257910945625,0.043451582189125
"E1","final_correct_settlers","H1","H4",219,102.5,116.5,5.24999825208348e-10,1.57499947562505e-09
"E2","final_correct_settlers","H1","H2",240,246.5,-6.5,2.3980873474237e-06,4.7961746948474e-06
"E2","final_correct_settlers","H1","H3",240,244,-4,5.13636841707293e-05,5.13636841707293e-05
"E2","final_correct_settlers","H1","H4",240,120,120,2.76343784587672e-11,8.29031353763015e-11
"E3","final_correct_settlers","H1","H2",0,0,0,NA,NA
"E3","final_correct_settlers","H1","H3",0,0,0,NA,NA
"E3","final_correct_settlers","H1","H4",0,0,0,NA,NA
"E1","final_total_settlers","H1","H2",232.5,245,-12.5,0.000549613434332849,0.0010992268686657
"E1","final_total_settlers","H1","H3",232.5,231,1.5,0.47306974989635,0.47306974989635
"E1","final_total_settlers","H1","H4",232.5,115.5,117,4.95904675738691e-10,1.48771402721607e-09
"E2","final_total_settlers","H1","H2",246,249,-3,2.12223745267144e-06,4.24447490534288e-06
"E2","final_total_settlers","H1","H3",246,247.5,-1.5,0.020771323829327,0.020771323829327
"E2","final_total_settlers","H1","H4",246,123,123,2.4120382106365e-11,7.23611463190951e-11
"E3","final_total_settlers","H1","H2",2,0,2,7.09244571330623e-05,0.000212773371399187
"E3","final_total_settlers","H1","H3",2,1,1,0.015454359959751,0.030908719919502
"E3","final_total_settlers","H1","H4",2,2,0,0.379252561431939,0.379252561431939
"E1","final_boundary_contacts","H1","H2",15020,16674,-1654,0.841801450158128,0.841801450158128
"E1","final_boundary_contacts","H1","H3",15020,29335,-14315,0.4119108371476,0.823821674295199
"E1","final_boundary_contacts","H1","H4",15020,8435,6585,0.0823571708823862,0.247071512647159
"E2","final_boundary_contacts","H1","H2",25084,20083,5001,0.395267011333117,0.790534022666233
"E2","final_boundary_contacts","H1","H3",25084,24945,139,0.911708975319428,0.911708975319428
"E2","final_boundary_contacts","H1","H4",25084,20647.5,4436.5,0.0724455957742367,0.21733678732271
"E3","final_boundary_contacts","H1","H2",242562,247946.5,-5384.5,0.0251012827293351,0.0251012827293351
"E3","final_boundary_contacts","H1","H3",242562,247903,-5341,3.83066870411599e-05,7.66133740823197e-05
"E3","final_boundary_contacts","H1","H4",242562,119042.5,123519.5,3.82015978199934e-10,1.1460479345998e-09
"E1","final_genetic_diversity","H1","H2",0.1596,0.0415995,0.1180005,3.01985935916215e-11,9.05957807748645e-11
"E1","final_genetic_diversity","H1","H3",0.1596,0.1915005,-0.0319005,0.16686617046326,0.16686617046326
"E1","final_genetic_diversity","H1","H4",0.1596,0.12312,0.03648,0.000654864616854614,0.00130972923370923
"E2","final_genetic_diversity","H1","H2",0.39435,0.1343,0.26005,1.95565302100529e-10,5.86695906301586e-10
"E2","final_genetic_diversity","H1","H3",0.39435,0.3874,0.00695000000000001,0.99410183938476,0.99410183938476
"E2","final_genetic_diversity","H1","H4",0.39435,0.31952,0.07483,0.0063750486034617,0.0127500972069234
"E3","final_genetic_diversity","H1","H2",0.20945,0.0546,0.15485,3.01985935916215e-11,9.05957807748645e-11
"E3","final_genetic_diversity","H1","H3",0.20945,0.2833,-0.07385,0.00163734850893152,0.00163734850893152
"E3","final_genetic_diversity","H1","H4",0.20945,0.14032,0.06913,2.02750759826341e-07,4.05501519652683e-07
"E1","correct_settlement_rate","H1","H2",0.876,0.896,-0.02,0.61492068534247,0.61492068534247
"E1","correct_settlement_rate","H1","H3",0.876,0.802,0.074,0.0217257910945625,0.043451582189125
"E1","correct_settlement_rate","H1","H4",0.876,0.41,0.466,5.24999825208348e-10,1.57499947562505e-09
"E2","correct_settlement_rate","H1","H2",0.96,0.986,-0.026,2.3980873474237e-06,4.7961746948474e-06
"E2","correct_settlement_rate","H1","H3",0.96,0.976,-0.016,5.13636841707293e-05,5.13636841707293e-05
