"experiment","setup_id","setup_label","parameter_change","metric","n","mean","sd","median","q1","q3","min","max","median_ci_low","median_ci_high"
"E1","H1","Baseline","Baseline","final_correct_settlers",30,208.566666666667,42.5916321175508,219,206,224.75,0,240,212.5,223
"E1","H2","Reduced mutation","mutation_rate","final_correct_settlers",30,189.166666666667,78.8508340031258,224,185.25,237.75,0,246,196.5,231
"E1","H3","Reduced genome","genome_length","final_correct_settlers",30,152.666666666667,95.9670681063017,200.5,36.75,220,0,240,167,219
"E1","H4","Reduced pop","population_size","final_correct_settlers",30,96.3333333333333,24.4798767933193,102.5,94.75,106,0,120,98.5,105.5
"E2","H1","Baseline","Baseline","final_correct_settlers",30,239.633333333333,3.78274971446683,240,238,242,232,247,238,241
"E2","H2","Reduced mutation","mutation_rate","final_correct_settlers",30,245.166666666667,4.27569984860985,246.5,244,248,230,250,244,247
"E2","H3","Reduced genome","genome_length","final_correct_settlers",30,243.866666666667,3.41127272571329,244,242.25,246,236,249,243,245
"E2","H4","Reduced pop","population_size","final_correct_settlers",30,119.066666666667,3.15062482400066,120,117,121,109,125,118,121
"E3","H1","Baseline","Baseline","final_avg_fitness",30,25699.2322917,7609.7243282053,27721.4570315,22836.731445,30700.977051,8163.040039,35397.03125,23943.254883,30358.6152345
"E3","H2","Reduced mutation","mutation_rate","final_avg_fitness",30,24509.4310872333,8039.13247761311,25956.6953125,20240.51513675,30977.22558625,6006.993164,34223.652344,22636.238281,30554.2617185
"E3","H3","Reduced genome","genome_length","final_avg_fitness",30,20556.0303954333,10820.4770871514,25449.4003905,8705.175293,29390.25830075,3993.726807,33273.097656,11403.4423825,28855.03125
"E3","H4","Reduced pop","population_size","final_avg_fitness",30,22824.7383585,9890.94168412674,26882.1279295,14875.42724625,30943.0190425,1777.868042,36087.410156,18699.1416015,29788.730469
