"experiment","setup_id","setup_label","parameter_change","metric","n","mean","sd","median","q1","q3","min","max","median_ci_low","median_ci_high"
"E1","H1","Baseline","Baseline","correct_settlement_rate",30,0.834266666666667,0.170366528470203,0.876,0.824,0.899,0,0.96,0.85,0.892
"E1","H2","Reduced mutation","mutation_rate","correct_settlement_rate",30,0.756666666666667,0.315403336012503,0.896,0.741,0.951,0,0.984,0.786,0.924
"E1","H3","Reduced genome","genome_length","correct_settlement_rate",30,0.610666666666667,0.383868272425207,0.802,0.147,0.88,0,0.96,0.668,0.876
"E1","H4","Reduced pop","population_size","correct_settlement_rate",30,0.385333333333333,0.0979195071732771,0.41,0.379,0.424,0,0.48,0.394,0.422
"E1","H1","Baseline","Baseline","final_avg_fitness",30,7815.6118165,918.813815464841,7966.401367,7420.53454575,8188.162476,5036.408203,9750.830078,7792.5754395,8072.286377
"E1","H2","Reduced mutation","mutation_rate","final_avg_fitness",30,7481.82548826667,1147.28337083924,7979.5476075,6527.44445775,8466.608887,5065.531738,8830.705078,6982.219971,8386.2895505
"E1","H3","Reduced genome","genome_length","final_avg_fitness",30,7136.75240876667,1154.6159775452,7441.625,6146.4475095,7914.144165,4980.550781,9086.34082,6752.5305175,7877.163086
"E1","H4","Reduced pop","population_size","final_avg_fitness",30,7197.25650226667,1084.07109494975,7334.2336425,6776.0389405,7815.963623,3944.884033,8744.670898,7052.9244198375,7640.0751955
"E1","H1","Baseline","Baseline","final_boundary_contacts",30,47794.0666666667,65292.4721129174,15020,6919.5,49081.75,1596,228222,10083,43998
"E1","H2","Reduced mutation","mutation_rate","final_boundary_contacts",30,41224.3,60838.0952121681,16674,9430,36945.5,5442,242161,12380,29627.5
"E1","H3","Reduced genome","genome_length","final_boundary_contacts",30,50654.5666666667,63632.4631873426,29335,11124.75,51280.5,3076,240790,13729,44803.5
"E1","H4","Reduced pop","population_size","final_boundary_contacts",30,21349.7333333333,26472.9443419755,8435,4581.5,22203,10,90962,5487.5,19479
"E1","H1","Baseline","Baseline","final_correct_settlers",30,208.566666666667,42.5916321175508,219,206,224.75,0,240,212.5,223
"E1","H2","Reduced mutation","mutation_rate","final_correct_settlers",30,189.166666666667,78.8508340031258,224,185.25,237.75,0,246,196.5,231
"E1","H3","Reduced genome","genome_length","final_correct_settlers",30,152.666666666667,95.9670681063017,200.5,36.75,220,0,240,167,219
"E1","H4","Reduced pop","population_size","final_correct_settlers",30,96.3333333333333,24.4798767933193,102.5,94.75,106,0,120,98.5,105.5
"E1","H1","Baseline","Baseline","final_genetic_diversity",30,0.170269966666667,0.0584677091962223,0.1596,0.1252,0.21575,0.0819,0.3088,0.13925,0.19115
"E1","H2","Reduced mutation","mutation_rate","final_genetic_diversity",30,0.0420964666666667,0.0184260685213646,0.0415995,0.02922475,0.053375,0.0074,0.0801,0.0345495,0.0493
"E1","H3","Reduced genome","genome_length","final_genetic_diversity",30,0.1890801,0.0597342780136936,0.1915005,0.14505,0.22445025,0.039199,0.3228,0.1742,0.2166
"E1","H4","Reduced pop","population_size","final_genetic_diversity",30,0.118938666666667,0.0413296143080307,0.12312,0.08456,0.14052,0.05344,0.23296,0.10552,0.13048
"E1","H1","Baseline","Baseline","final_max_fitness",30,18345.9375652,8258.17725645857,17421.3007815,14209.98584,20144.8378905,6140.164062,43180.90625,15396.4091795,18567.361328
"E1","H2","Reduced mutation","mutation_rate","final_max_fitness",30,14454.5906575,6808.05163735875,13141.406738,12308.0725095,15272.944336,5971.532227,44702.886719,12644.6938475,13927.3339845
"E1","H3","Reduced genome","genome_length","final_max_fitness",30,16722.9762043333,7304.49348557702,15874.3393555,12035.24731425,20667.807129,5970.851562,36469.398438,13472.293945,18671.932617
"E1","H4","Reduced pop","population_size","final_max_fitness",30,13081.6362629667,3220.85324300626,13061.524414,11175.16674825,14500.7910155,8475.720703,21697.589844,11877.845703,14016.930176
"E1","H1","Baseline","Baseline","final_total_settlers",30,224.166666666667,43.2435630715883,232.5,227.25,237.75,5,249,229.5,236.5
"E1","H2","Reduced mutation","mutation_rate","final_total_settlers",30,211.6,84.3402795740012,245,240,248,0,250,241,247.5
"E1","H3","Reduced genome","genome_length","final_total_settlers",30,170.433333333333,104.834741324171,231,44,242,0,250,195.5,240
"E1","H4","Reduced pop","population_size","final_total_settlers",30,111.433333333333,22.1556925561734,115.5,111,121,2,125,112.5,120
"E1","H1","Baseline","Baseline","incorrect_settlers",30,15.6,10.1083782252559,14.5,8,22,2,48,8.5,19
"E1","H2","Reduced mutation","mutation_rate","incorrect_settlers",30,22.4333333333333,23.9203899941298,13,3.25,31.75,0,82,7.5,23
"E1","H3","Reduced genome","genome_length","incorrect_settlers",30,17.7666666666667,18.5837959325959,14.5,2.5,26.25,0,83,5,24
"E1","H4","Reduced pop","population_size","incorrect_settlers",30,15.1,12.5597880500456,10.5,5.25,21.75,2,53,7,18.5
"E2","H1","Baseline","Baseline","correct_settlement_rate",30,0.958533333333333,0.0151309988578673,0.96,0.952,0.968,0.928,0.988,0.952,0.964
"E2","H2","Reduced mutation","mutation_rate","correct_settlement_rate",30,0.980666666666667,0.0171027993944394,0.986,0.976,0.992,0.92,1,0.976,0.988
"E2","H3","Reduced genome","genome_length","correct_settlement_rate",30,0.975466666666667,0.0136450909028532,0.976,0.969,0.984,0.944,0.996,0.972,0.98
"E2","H4","Reduced pop","population_size","correct_settlement_rate",30,0.476266666666667,0.0126024992960026,0.48,0.468,0.484,0.436,0.5,0.472,0.484
"E2","H1","Baseline","Baseline","final_avg_fitness",30,3859.2196615,829.280171904553,3729.0081785,3239.6129765,4045.13348375,3095.995605,7210.033203,3319.7600095,3951.412842
"E2","H2","Reduced mutation","mutation_rate","final_avg_fitness",30,3958.11507976667,1532.40209753084,3400.0651855,3301.24017325,4004.8014525,3144.361084,11134.450195,3323.0865475,3841.4222415
"E2","H3","Reduced genome","genome_length","final_avg_fitness",30,4370.75389803333,1751.69538797878,3929.4520265,3544.2235715,4311.7080075,3214.051025,11151.897461,3710.8917235,4059.4455565
"E2","H4","Reduced pop","population_size","final_avg_fitness",30,3523.02063803333,401.49680486176,3448.0686035,3209.89678925,3682.0413815,3027.624023,4806.032715,3260.7857940875,3663.9487305
"E2","H1","Baseline","Baseline","final_boundary_contacts",30,32743,24287.9216697206,25084,19113,33100.5,7903,113204,21035.5,30472.5
"E2","H2","Reduced mutation","mutation_rate","final_boundary_contacts",30,38712.5,66661.6114725761,20083,14387.5,39763.75,8172,380007,17669,28807
"E2","H3","Reduced genome","genome_length","final_boundary_contacts",30,90674.4666666667,164274.802579919,24945,16930,40144.25,1069,578088,19474.5,36460
"E2","H4","Reduced pop","population_size","final_boundary_contacts",30,22264.1,13217.3785818468,20647.5,12592.75,29214,1323,58774,13826,25457.5
"E2","H1","Baseline","Baseline","final_correct_settlers",30,239.633333333333,3.78274971446683,240,238,242,232,247,238,241
"E2","H2","Reduced mutation","mutation_rate","final_correct_settlers",30,245.166666666667,4.27569984860985,246.5,244,248,230,250,244,247
"E2","H3","Reduced genome","genome_length","final_correct_settlers",30,243.866666666667,3.41127272571329,244,242.25,246,236,249,243,245
"E2","H4","Reduced pop","population_size","final_correct_settlers",30,119.066666666667,3.15062482400066,120,117,121,109,125,118,121
"E2","H1","Baseline","Baseline","final_genetic_diversity",30,0.38739,0.103077173465589,0.39435,0.322475,0.440375,0.1289,0.6536,0.35085,0.41085
"E2","H2","Reduced mutation","mutation_rate","final_genetic_diversity",30,0.132243233333333,0.0441574016638468,0.1343,0.105675,0.15735,0.0422,0.2163,0.11715,0.1544
"E2","H3","Reduced genome","genome_length","final_genetic_diversity",30,0.386153333333333,0.106811386237072,0.3874,0.3307,0.44425,0.155,0.6318,0.34,0.4277
"E2","H4","Reduced pop","population_size","final_genetic_diversity",30,0.322117333333333,0.0882604865287907,0.31952,0.25692,0.3736,0.17632,0.49728,0.27536,0.34776
"E2","H1","Baseline","Baseline","final_max_fitness",30,15753.6669188667,19967.5091016532,8040.016113,4310.95275875,16607.85791025,3552.651855,99841.804688,6202.118652,13992.2841795
"E2","H2","Reduced mutation","mutation_rate","final_max_fitness",30,14440.0467040333,34862.7769583395,4819.7080075,3653.949219,10400.28051775,3637.51416,195464.8125,3772.3813475,7652.013916
"E2","H3","Reduced genome","genome_length","final_max_fitness",30,15030.6152181,17399.7744205315,9889.244141,6913.15368675,13115.79687475,3643.691406,75637.90625,8064.733887,12113.2924805
"E2","H4","Reduced pop","population_size","final_max_fitness",30,6529.78634433333,3727.97441181835,5432.5717775,4343.371826,7480.72753875,3358.511719,21376.615234,4505.4111325,6569.02107526248
"E2","H1","Baseline","Baseline","final_total_settlers",30,245.7,2.03673166177309,246,245,246.75,240,249,245,246
"E2","H2","Reduced mutation","mutation_rate","final_total_settlers",30,248.466666666667,1.90703476874319,249,248,250,242,250,249,249.5
"E2","H3","Reduced genome","genome_length","final_total_settlers",30,247.033333333333,2.20474931460016,247.5,245,249,243,250,246.5,249
"E2","H4","Reduced pop","population_size","final_total_settlers",30,122.2,2.17192112640177,123,120.25,124,117,125,121,124
"E2","H1","Baseline","Baseline","incorrect_settlers",30,6.06666666666667,3.6382388059603,5.5,4,8,0,17,5,6.5
"E2","H2","Reduced mutation","mutation_rate","incorrect_settlers",30,3.3,3.28161020190415,3,1.25,4,0,15,2,3
"E2","H3","Reduced genome","genome_length","incorrect_settlers",30,3.16666666666667,3.20649484568466,2,1,4,0,12,1.5,3
"E2","H4","Reduced pop","population_size","incorrect_settlers",30,3.13333333333333,1.97804036312734,3,2,4,0,9,2,3.5
"E3","H1","Baseline","Baseline","correct_settlement_rate",30,0,0,0,0,0,0,0,0,0
"E3","H2","Reduced mutation","mutation_rate","correct_settlement_rate",30,0,0,0,0,0,0,0,0,0
"E3","H3","Reduced genome","genome_length","correct_settlement_rate",30,0,0,0,0,0,0,0,0,0
"E3","H4","Reduced pop","population_size","correct_settlement_rate",30,0,0,0,0,0,0,0,0,0
"E3","H1","Baseline","Baseline","final_avg_fitness",30,25699.2322917,7609.7243282053,27721.4570315,22836.731445,30700.977051,8163.040039,35397.03125,23943.254883,30358.6152345
"E3","H2","Reduced mutation","mutation_rate","final_avg_fitness",30,24509.4310872333,8039.13247761311,25956.6953125,20240.51513675,30977.22558625,6006.993164,34223.652344,22636.238281,30554.2617185
"E3","H3","Reduced genome","genome_length","final_avg_fitness",30,20556.0303954333,10820.4770871514,25449.4003905,8705.175293,29390.25830075,3993.726807,33273.097656,11403.4423825,28855.03125
"E3","H4","Reduced pop","population_size","final_avg_fitness",30,22824.7383585,9890.94168412674,26882.1279295,14875.42724625,30943.0190425,1777.868042,36087.410156,18699.1416015,29788.730469
"E3","H1","Baseline","Baseline","final_boundary_contacts",30,234649,29826.8734463773,242562,239194.25,247258,108503,248938,240874.5,247169
"E3","H2","Reduced mutation","mutation_rate","final_boundary_contacts",30,236886.3,28736.1925814696,247946.5,240815,249271.25,110128,249852,244221.5,248793
"E3","H3","Reduced genome","genome_length","final_boundary_contacts",30,245711.1,11315.4158603696,247903,245985.25,249360.75,186566,249933,246787,248875.5
"E3","H4","Reduced pop","population_size","final_boundary_contacts",30,114012.133333333,16143.9144971706,119042.5,114611.25,121891.75,49584,124948,115400.5,121448.5
