"experiment","method","metric","n","mean","sd","median","q1","q3","min","max","median_ci_low","median_ci_high"
"E1","Elitism","correct_settlement_rate",30,0.834266666666667,0.170366528470203,0.876,0.824,0.899,0,0.96,0.85,0.892
"E1","Truncation","correct_settlement_rate",30,0.753733333333333,0.14493825875377,0.794,0.681,0.859,0.328,0.92,0.744,0.826
"E1","SUS","correct_settlement_rate",30,0.614533333333333,0.412044166810184,0.872,0,0.896,0,0.944,0.742,0.892
"E1","Elitism","final_avg_fitness",30,7815.6118165,918.813815464841,7966.401367,7420.53454575,8188.162476,5036.408203,9750.830078,7774.23291,8072.286377
"E1","Truncation","final_avg_fitness",30,6999.5975504,1309.86649749809,7081.651611,6736.30444325,7771.67370625,3082.635742,9968.131836,6907.503174,7454.0578615
"E1","SUS","final_avg_fitness",30,6898.39526363333,1056.72034743612,7463.786621,5663.7303465,7632.47192375,5020.190918,8329.81543,6460.6142575,7588.338867
"E1","Elitism","final_boundary_contacts",30,47794.0666666667,65292.4721129174,15020,6919.5,49081.75,1596,228222,9837,44145
"E1","Truncation","final_boundary_contacts",30,33244.0333333333,28846.2228203079,25493,11754.25,41698,1736,107752,18278.5,33672.5
"E1","SUS","final_boundary_contacts",30,72512.9666666667,80009.2875602289,39153,23436.5,58342.75,11814,239710,26861,49760
"E1","Elitism","final_correct_settlers",30,208.566666666667,42.5916321175508,219,206,224.75,0,240,212.5,223
"E1","Truncation","final_correct_settlers",30,188.433333333333,36.2345646884424,198.5,170.25,214.75,82,230,186,206.5
"E1","SUS","final_correct_settlers",30,153.633333333333,103.011041702546,218,0,224,0,236,185.5,223
"E1","Elitism","final_genetic_diversity",30,0.170269966666667,0.0584677091962223,0.1596,0.1252,0.21575,0.0819,0.3088,0.13925,0.19115
"E1","Truncation","final_genetic_diversity",30,0.0748432,0.0262099791582493,0.0715,0.055225,0.08775,0.036,0.132399,0.05875,0.0832
"E1","SUS","final_genetic_diversity",30,0.383663333333333,0.069182155778502,0.3818,0.325275,0.429975,0.2478,0.5423,0.34055,0.4162
"E1","Elitism","final_max_fitness",30,18345.9375652,8258.17725645857,17421.3007815,14209.98584,20144.8378905,6140.164062,43180.90625,15396.4091795,18567.361328
"E1","Truncation","final_max_fitness",30,15950.5394531333,5864.10046161588,15222.892578,12920.48584,16973.13476575,8481.388672,38567.480469,13405.6918945,16384.061035
"E1","SUS","final_max_fitness",30,10187.949463,3200.89471227111,9798.9799805,8674.48339825,11366.2680665,5963.525879,18598.375,8943.943359,11075.636719
"E1","Elitism","final_total_settlers",30,224.166666666667,43.2435630715883,232.5,227.25,237.75,5,249,229.5,236.5
"E1","Truncation","final_total_settlers",30,220.266666666667,18.5359544991727,225.5,207,235.75,174,246,211.5,231.5
"E1","SUS","final_total_settlers",30,164,107.441082491273,227.5,4.25,234.75,1,248,222.5,234
"E1","Elitism","incorrect_settlers",30,15.6,10.1083782252559,14.5,8,22,2,48,8.5,19
"E1","Truncation","incorrect_settlers",30,31.8333333333333,33.113267820424,23.5,13.25,37.75,3,163,15.5,32.5
"E1","SUS","incorrect_settlers",30,10.3666666666667,11.5414794167142,7,4,10.5,1,56,4.5,8
"E2","Elitism","correct_settlement_rate",30,0.9324,0.0560723670342851,0.946,0.925,0.971,0.696,0.98,0.93,0.964
"E2","Truncation","correct_settlement_rate",30,0.814533333333333,0.177732796991542,0.89,0.697,0.955,0.404,0.988,0.79,0.944
"E2","SUS","correct_settlement_rate",30,0.958533333333333,0.0151309988578673,0.96,0.952,0.968,0.928,0.988,0.952,0.964
"E2","Elitism","final_avg_fitness",30,4555.07035323333,1353.34868267073,4306.112793,3830.21820075,5068.61865275,2388.878174,9664.615234,3963.819458,4632.925049
"E2","Truncation","final_avg_fitness",30,4379.5698405,2242.03472469339,3920.250366,3330.61621125,4920.3044435,1495.671753,12980.921875,3580.6326905,4465.6235355
"E2","SUS","final_avg_fitness",30,3859.2196615,829.280171904553,3729.0081785,3239.6129765,4045.13348375,3095.995605,7210.033203,3307.950928,3951.412842
"E2","Elitism","final_boundary_contacts",30,110644.866666667,194456.069284473,35898.5,18620.5,93174.25,4545,894273,20995,58776.5
"E2","Truncation","final_boundary_contacts",30,145921.733333333,197907.148074621,55996,24949,152379.25,8681,669580,28533,114782
