active_neurons,eff_connections,mean_abs_weight,s2n,s2a,n2n,n2a,experiment,seed,fitness
10,47,2.058383373503989,11,14,5,17,E1,1,8766.193359
9,47,2.100936564993351,11,15,5,16,E1,1,8658.549805
10,47,2.057967814993351,11,14,5,17,E1,1,8555.666016
11,48,2.0780258178710938,11,17,5,15,E1,1,8480.338867
10,48,1.9785995483398438,11,16,6,15,E1,1,8454.582031
10,47,2.055079683344415,10,18,5,14,E1,1,8425.947266
11,49,2.0201814612563775,12,16,6,15,E1,1,8421.929688
8,44,1.9964460893110796,9,15,4,16,E1,1,8415.640625
12,50,2.08652099609375,13,12,7,18,E1,1,8388.800781
11,49,2.0025684590242347,12,15,6,16,E1,1,8388.136719
11,49,2.0429836973852042,12,14,9,14,E1,2,13086.890625
11,49,2.0275978555484695,13,12,9,15,E1,2,11656.759766
11,49,2.066520846619898,11,17,8,13,E1,2,11606.367188
11,49,2.04915696747449,13,12,8,16,E1,2,11488.960938
11,49,1.9949627311862246,13,14,11,11,E1,2,11112.470703
11,49,2.022655253507653,12,14,9,14,E1,2,10960.814453
11,49,2.06746751434949,13,13,8,15,E1,2,10495.966797
11,49,2.04801100127551,13,12,9,15,E1,2,10469.126953
11,49,2.067118742028061,12,13,9,15,E1,2,10328.857422
11,49,2.0275928730867347,14,12,7,16,E1,2,9950.200195
9,44,1.8273259943181819,6,17,9,12,E1,3,9246.192383
10,45,1.8138916015625,9,16,6,14,E1,3,9037.152344
10,45,1.8145968967013888,6,17,7,15,E1,3,8988.867188
9,43,1.800091410792151,6,19,7,11,E1,3,8956.516602
11,46,1.8402895720108696,7,17,9,13,E1,3,8928.130859
8,42,1.8260963076636905,7,18,6,11,E1,3,8915.730469
11,49,1.7866161112882653,10,16,9,14,E1,3,8903.592773
9,44,1.8415305397727273,5,19,7,13,E1,3,8900.814453
9,43,1.8318382085755813,6,19,8,10,E1,3,8886.830078
8,43,1.8155659520348837,7,18,7,11,E1,3,8876.317383
8,37,2.3353898331925675,9,11,8,9,E1,4,9007.341797
5,30,2.4693929036458333,3,12,6,9,E1,4,8696.010742
7,35,2.3890904017857144,5,13,8,9,E1,4,8618.292969
7,35,2.2768031529017856,8,12,7,8,E1,4,8540.0625
