"experiment","metric","method_1","method_2","median_1","median_2","median_difference","p_value","p_holm"
"E1","final_avg_fitness","Elitism","Truncation",7966.401367,7081.651611,884.749756,0.00090306948957134,0.00180613897914268
"E1","final_avg_fitness","Elitism","SUS",7966.401367,7463.786621,502.614746,0.000268057096804918,0.000804171290414753
"E1","final_avg_fitness","Truncation","SUS",7081.651611,7463.786621,-382.13501,0.935191970239339,0.935191970239339
"E2","final_avg_fitness","Elitism","Truncation",4306.112793,3920.250366,385.862427,0.190730333471568,0.381460666943136
"E2","final_avg_fitness","Elitism","SUS",4306.112793,3729.0081785,577.1046145,0.00442719316717302,0.0132815795015191
"E2","final_avg_fitness","Truncation","SUS",3920.250366,3729.0081785,191.2421875,0.371077032126514,0.381460666943136
"E3","final_avg_fitness","Elitism","Truncation",27721.4570315,9592.6875,18128.7695315,7.73868568857663e-06,1.54773713771533e-05
"E3","final_avg_fitness","Elitism","SUS",27721.4570315,7049.7160645,20671.740967,1.19368010017254e-06,3.58104030051761e-06
"E3","final_avg_fitness","Truncation","SUS",9592.6875,7049.7160645,2542.9714355,0.228230066807424,0.228230066807424
"E1","final_max_fitness","Elitism","Truncation",17421.3007815,15222.892578,2198.4082035,0.105469946521778,0.105469946521778
"E1","final_max_fitness","Elitism","SUS",17421.3007815,9798.9799805,7622.320801,1.24932420981477e-05,2.49864841962954e-05
"E1","final_max_fitness","Truncation","SUS",15222.892578,9798.9799805,5423.9125975,5.4620328621224e-06,1.63860985863672e-05
"E2","final_max_fitness","Elitism","Truncation",14271.956543,14778.9731445,-507.0166015,0.773119942467523,0.773119942467523
"E2","final_max_fitness","Elitism","SUS",14271.956543,8040.016113,6231.94043,0.0391670680388259,0.117501204116478
"E2","final_max_fitness","Truncation","SUS",14778.9731445,8040.016113,6738.9570315,0.0823571708823862,0.164714341764772
"E3","final_max_fitness","Elitism","Truncation",62065.642578,61860.419922,205.222655999998,0.363222312552739,0.363222312552739
"E3","final_max_fitness","Elitism","SUS",62065.642578,57036.285156,5029.357422,2.31678676525405e-06,6.95036029576215e-06
"E3","final_max_fitness","Truncation","SUS",61860.419922,57036.285156,4824.134766,1.52916739257164e-05,3.05833478514328e-05
"E1","final_correct_settlers","Elitism","Truncation",219,198.5,20.5,0.000481886625530691,0.00144565987659207
"E1","final_correct_settlers","Elitism","SUS",219,218,1,0.353977069771184,0.360112544642039
"E1","final_correct_settlers","Truncation","SUS",198.5,218,-19.5,0.180056272321019,0.360112544642039
"E2","final_correct_settlers","Elitism","Truncation",236.5,222.5,14,0.00807856933378379,0.0161571386675676
"E2","final_correct_settlers","Elitism","SUS",236.5,240,-3.5,0.0521829723322075,0.0521829723322075
"E2","final_correct_settlers","Truncation","SUS",222.5,240,-17.5,0.000114396583474263,0.000343189750422789
"E3","final_correct_settlers","Elitism","Truncation",0,0,0,NA,NA
"E3","final_correct_settlers","Elitism","SUS",0,0,0,NA,NA
"E3","final_correct_settlers","Truncation","SUS",0,0,0,NA,NA
"E1","final_total_settlers","Elitism","Truncation",232.5,225.5,7,0.0319223489437212,0.0957670468311636
"E1","final_total_settlers","Elitism","SUS",232.5,227.5,5,0.0410969544499609,0.0957670468311636
"E1","final_total_settlers","Truncation","SUS",225.5,227.5,-2,0.876582161642509,0.876582161642509
"E2","final_total_settlers","Elitism","Truncation",245,242.5,2.5,0.152442338065145,0.304884676130289
"E2","final_total_settlers","Elitism","SUS",245,246,-1,0.520840797160074,0.520840797160074
"E2","final_total_settlers","Truncation","SUS",242.5,246,-3.5,0.0540516920858964,0.162155076257689
"E3","final_total_settlers","Elitism","Truncation",2,2,0,0.325417565398253,0.325417565398253
"E3","final_total_settlers","Elitism","SUS",2,145.5,-143.5,3.39002586032123e-09,6.78005172064247e-09
