Generation;AvgFitness;MaxFitness
999;6173,537598;7523,847656
998;6276,864258;7523,381836
997;6133,348145;7523,794922
996;6011,091309;7517,616699
995;6426,492676;7532,813965
994;6215,750488;7517,486816
993;6227,009277;7515,790039
992;6155,313477;7514,543945
991;6498,474121;7521,632812
990;6528,753906;7550,697266
989;6172,992188;7520,39502
988;6638,492188;7528,15918
987;6427,706055;7557,403809
986;6133,98291;7518,677734
985;5992,13916;7519,078613
984;6143,60791;7532,279785
983;6326,888672;7522,012695
982;6528,934082;7529,690918
981;6325,088867;7537,388184
980;6132,994629;7521,960938
979;6163,503906;7525,649902
978;6437,096191;7535,560059
977;6509,228516;7550,701172
976;6296,398438;7556,288574
975;6335,540039;7542,117676
974;6507,509277;7533,878906
973;6537,960449;7538,270996
972;6364,970703;7530,95166
971;6214,065918;7535,595703
970;6226,437988;7532,930176
969;6093,775879;7536,040527
968;6154,577148;7564,938965
967;6235,888184;7529,277344
966;6254,362305;7517,766113
965;5931,261719;7519,181152
964;6598,513672;7524,030273
963;6367,50293;7532,574707
962;6569,491211;7516,098633
961;6256,005859;7516,947754
960;6671,306641;7523,773926
959;6418,831543;7518,268066
958;6548,620605;7553,723145
957;6305,061035;7529,466309
956;6233,887695;7534,461914
955;6163,375;7535,800781
954;6538,682129;7526,174316
953;6417,783691;7547,992676
952;6275,021973;7520,666016
951;6668,966797;7520,358887
950;6578,673828;7539,054688
949;6213,804688;7526,459473
948;6274,80957;7522,204102
947;6427,981445;7618,110352
946;6337,692871;7545,303711
945;6285,236816;7522,282227
944;6377,619629;7518,209961
943;6357,769043;7531,975098
942;6273,827148;7514,931641
941;6073,046875;7526,882324
940;6731,651855;7520,373047
939;6346,656738;7531,833008
938;6183,659668;7516,321777
937;6285,837891;7518,248535
936;6385,819824;7522,57959
935;6367,116699;7522,222168
934;6236,387695;7535,402344
933;6771,125977;7517,14209
932;6530,240723;7517,362305
931;6527,466309;7519,306152
930;5879,119629;7517,707031
929;6276,655762;7521,224121
